"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Paints, dyes, & varnishes",632,"Aqueous Paints",63209,"Chemical Products",6,1261,1995
"Paints, dyes, & varnishes",632,"Other Paints",63210,"Chemical Products",6,16977,1995
"Perfumery & cosmetics",633,"Essential Oils",63301,"Chemical Products",6,46107,1995
"Perfumery & cosmetics",633,"Scented Mixtures",63302,"Chemical Products",6,17510,1995
"Perfumery & cosmetics",633,"Perfumes",63303,"Chemical Products",6,27715,1995
"Perfumery & cosmetics",633,"Beauty Products",63304,"Chemical Products",6,64947,1995
"Perfumery & cosmetics",633,"Hair Products",63305,"Chemical Products",6,22141,1995
"Perfumery & cosmetics",633,"Dental Products",63306,"Chemical Products",6,5722,1995
"Perfumery & cosmetics",633,"Shaving Products",63307,"Chemical Products",6,66284,1995
"Soap, cleaners, candles, dental, modelling pastes",634,"Soap",63401,"Chemical Products",6,1630,1995
"Soap, cleaners, candles, dental, modelling pastes",634,"Polishes and Creams",63405,"Chemical Products",6,7914,1995
"Soap, cleaners, candles, dental, modelling pastes",634,"Candles",63406,"Chemical Products",6,12026,1995
"Photo & movie goods",637,"Photographic Plates",63701,"Chemical Products",6,201494.00000000003,1995
"Photo & movie goods",637,"Motion-picture film, exposed and developed",63706,"Chemical Products",6,6955,1995
"Chemical products n.e.s.",638,"Pesticides",63808,"Chemical Products",6,14474,1995
"Chemical products n.e.s.",638,"Dyeing Finishing Agents",63809,"Chemical Products",6,7805,1995
"Chemical products n.e.s.",638,"Industrial Fatty Acids, Oils and Alcohols",63823,"Chemical Products",6,111330,1995
"Plastics & articles thereof",739,"Ethylene Polymers",73901,"Plastics and Rubbers",7,17649,1995
"Plastics & articles thereof",739,"Vinyl Chloride Polymers",73904,"Plastics and Rubbers",7,17448,1995
"Plastics & articles thereof",739,"Other Vinyl Polymers",73905,"Plastics and Rubbers",7,14755,1995
"Plastics & articles thereof",739,"Natural Polymers",73913,"Plastics and Rubbers",7,413492,1995
"Plastics & articles thereof",739,"Plastic Pipes",73917,"Plastics and Rubbers",7,1325,1995
"Plastics & articles thereof",739,"Self-adhesive Plastics",73919,"Plastics and Rubbers",7,92171.00000000001,1995
"Plastics & articles thereof",739,"Raw Plastic Sheeting",73920,"Plastics and Rubbers",7,35566,1995
"Plastics & articles thereof",739,"Other Plastic Sheetings",73921,"Plastics and Rubbers",7,97609,1995
"Plastics & articles thereof",739,"Plastic Lids",73923,"Plastics and Rubbers",7,4115724,1995
"Plastics & articles thereof",739,"Plastic Housewares",73924,"Plastics and Rubbers",7,1790893,1995
"Plastics & articles thereof",739,"Plastic Building Materials",73925,"Plastics and Rubbers",7,18954,1995
"Plastics & articles thereof",739,"Other Plastic Products",73926,"Plastics and Rubbers",7,518372,1995
"Rubber & articles thereof",740,"Rubber",74001,"Plastics and Rubbers",7,237569,1995
"Rubber & articles thereof",740,"Synthetic Rubber",74002,"Plastics and Rubbers",7,17355.999999999996,1995
"Rubber & articles thereof",740,"Scrap Rubber",74004,"Plastics and Rubbers",7,12519,1995
"Rubber & articles thereof",740,"Rubber Sheets",74008,"Plastics and Rubbers",7,2701,1995
"Rubber & articles thereof",740,"Rubber Pipes",74009,"Plastics and Rubbers",7,7243,1995
"Rubber & articles thereof",740,"Rubber Tires",74011,"Plastics and Rubbers",7,55355,1995
"Rubber & articles thereof",740,"Used Rubber Tires",74012,"Plastics and Rubbers",7,16666,1995
"Rubber & articles thereof",740,"Pharmaceutical Rubber Products",74014,"Plastics and Rubbers",7,25566.999999999996,1995
"Rubber & articles thereof",740,"Rubber Apparel",74015,"Plastics and Rubbers",7,37041,1995
"Rubber & articles thereof",740,"Hard Rubber",74017,"Plastics and Rubbers",7,12871,1995
"Raw hides & skin (non-fur)",841,"Equine and Bovine Hides",84101,"Animal Hides",8,1381962,1995
"Raw hides & skin (non-fur)",841,"Sheep Hides",84102,"Animal Hides",8,1409728.0000000002,1995
"Raw hides & skin (non-fur)",841,"Other Hides and Skins",84103,"Animal Hides",8,6964919,1995
"Raw hides & skin (non-fur)",841,"Tanned Equine and Bovine Hides",84104,"Animal Hides",8,262273339,1995
"Raw hides & skin (non-fur)",841,"Tanned Sheep Hides",84105,"Animal Hides",8,4290748,1995
"Raw hides & skin (non-fur)",841,"Tanned Goat Hides",84106,"Animal Hides",8,36396094,1995
"Raw hides & skin (non-fur)",841,"Leather of Other Animals",84107,"Animal Hides",8,527626,1995
"Raw hides & skin (non-fur)",841,"Patent Leather",84109,"Animal Hides",8,1068435,1995
"Raw hides & skin (non-fur)",841,"Leather Sheets",84111,"Animal Hides",8,2863,1995
"Leather articles",842,"Trunks and Cases",84202,"Animal Hides",8,7131114,1995
"Leather articles",842,"Leather Apparel",84203,"Animal Hides",8,4662726,1995
"Leather articles",842,"Leather Used in Machinery",84204,"Animal Hides",8,8294,1995
"Leather articles",842,"Other Leather Articles",84205,"Animal Hides",8,445666,1995
"Leather articles",842,"Articles of Gut",84206,"Animal Hides",8,28141,1995
"Furskins, articifial fur, & articles",843,"Furskin Apparel",84303,"Animal Hides",8,799,1995
"Wood, wood articles, & charcoal",944,"Wood Stakes",94404,"Wood Products",9,12085682,1995
"Wood, wood articles, & charcoal",944,"Sawn Wood",94407,"Wood Products",9,42383.99999999999,1995
"Wood, wood articles, & charcoal",944,"Shaped Wood",94409,"Wood Products",9,30668.000000000004,1995
"Wood, wood articles, & charcoal",944,"Densified Wood",94413,"Wood Products",9,24289,1995
"Wood, wood articles, & charcoal",944,"Wood Frames",94414,"Wood Products",9,1434.0000000000002,1995
"Wood, wood articles, & charcoal",944,"Wooden Tool Handles",94417,"Wood Products",9,1581.9999999999998,1995
"Wood, wood articles, & charcoal",944,"Wood Carpentry",94418,"Wood Products",9,21335,1995
"Wood, wood articles, & charcoal",944,"Wood Kitchenware",94419,"Wood Products",9,9226,1995
"Wood, wood articles, & charcoal",944,"Wood Ornaments",94420,"Wood Products",9,86654,1995
"Wood, wood articles, & charcoal",944,"Other Wood Articles",94421,"Wood Products",9,19293,1995
"Straw & esparto manufactures",946,"Plaiting Products",94601,"Wood Products",9,147059,1995
"Straw & esparto manufactures",946,"Basketwork",94602,"Wood Products",9,3206840,1995
"Paper articles",1048,"Kraft Paper",104804,"Paper Goods",10,2129,1995
"Paper articles",1048,"Other Uncoated Paper",104805,"Paper Goods",10,34161,1995
"Paper articles",1048,"Cellulose Fibers Paper",104811,"Paper Goods",10,10269,1995
"Paper articles",1048,"Letter Stock",104817,"Paper Goods",10,32969,1995
"Paper articles",1048,"Toilet Paper",104818,"Paper Goods",10,7170,1995
"Paper articles",1048,"Paper Containers",104819,"Paper Goods",10,76811,1995
"Paper articles",1048,"Paper Notebooks",104820,"Paper Goods",10,41300,1995
"Paper articles",1048,"Paper Labels",104821,"Paper Goods",10,31059,1995
"Paper articles",1048,"Shaped Paper",104823,"Paper Goods",10,628949,1995
"Books, newspapers, & other prints",1049,"Brochures",104901,"Paper Goods",10,166705,1995
"Books, newspapers, & other prints",1049,"Newspapers",104902,"Paper Goods",10,72650,1995
"Books, newspapers, & other prints",1049,"Children's Picture Books",104903,"Paper Goods",10,955,1995
"Books, newspapers, & other prints",1049,"Decals",104908,"Paper Goods",10,53828,1995
"Books, newspapers, & other prints",1049,"Postcards",104909,"Paper Goods",10,123087,1995
"Books, newspapers, & other prints",1049,"Calendars",104910,"Paper Goods",10,32575,1995
"Books, newspapers, & other prints",1049,"Other Printed Material",104911,"Paper Goods",10,19662,1995
"Silk",1150,"Silk Fabrics",115007,"Textiles",11,573789,1995
"Wool & animal hair",1151,"Non-Retail Animal Hair Yarn",115108,"Textiles",11,20941,1995
"Wool & animal hair",1151,"Combed Wool or Animal Hair Fabric",115112,"Textiles",11,33092,1995
"Cotton",1152,"Raw Cotton",115201,"Textiles",11,579899,1995
"Cotton",1152,"Cotton Waste",115202,"Textiles",11,30121,1995
"Cotton",1152,"Cotton Sewing Thread",115204,"Textiles",11,5684,1995
"Cotton",1152,"Non-Retail Pure Cotton Yarn",115205,"Textiles",11,2784625,1995
"Cotton",1152,"Light Pure Woven Cotton",115208,"Textiles",11,6722383,1995
"Cotton",1152,"Heavy Pure Woven Cotton",115209,"Textiles",11,3185635.9999999995,1995
"Cotton",1152,"Light Mixed Woven Cotton",115210,"Textiles",11,3816.9999999999995,1995
"Cotton",1152,"Heavy Mixed Woven Cotton",115211,"Textiles",11,291115,1995
"Cotton",1152,"Other Cotton Fabrics",115212,"Textiles",11,16863,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Flax Fibers",115301,"Textiles",11,55747,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Jute and Other Textile Fibers",115303,"Textiles",11,99861964,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Coconut and Other Vegetable Fibers",115305,"Textiles",11,64477,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Jute Yarn",115307,"Textiles",11,91969415,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Other Vegetable Fibers Yarn",115308,"Textiles",11,115110,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Flax Woven Fabric",115309,"Textiles",11,27397,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Jute Woven Fabric",115310,"Textiles",11,98833574,1995
"Vegetable textile fibers, paper yarn & fabrics",1153,"Other Vegetable Fibers Fabric",115311,"Textiles",11,109654,1995
"Man-made filaments",1154,"Artificial Filament Sewing Thread",115401,"Textiles",11,45258,1995
"Man-made filaments",1154,"Non-Retail Synthetic Filament Yarn",115402,"Textiles",11,38786,1995
"Man-made filaments",1154,"Synthetic Monofilament",115404,"Textiles",11,14632,1995
"Man-made filaments",1154,"Artificial Monofilament",115405,"Textiles",11,22351.999999999996,1995
"Man-made filaments",1154,"Synthetic Filament Yarn Woven Fabric",115407,"Textiles",11,344591,1995
"Man-made filaments",1154,"Artificial Filament Yarn Woven Fabric",115408,"Textiles",11,46968,1995
"Man-made staple fibres",1155,"Artificial Fibers Waste",115505,"Textiles",11,247636,1995
"Man-made staple fibres",1155,"Non-Retail Artificial Staple Fibers Sewing Thread",115508,"Textiles",11,677,1995
"Man-made staple fibres",1155,"Non-Retail Synthetic Staple Fibers Yarn",115509,"Textiles",11,102172,1995
"Man-made staple fibres",1155,"Synthetic Fabrics",115512,"Textiles",11,19761,1995
"Man-made staple fibres",1155,"Light Synthetic Cotton Fabrics",115513,"Textiles",11,814242,1995
"Man-made staple fibres",1155,"Heavy Synthetic Cotton Fabrics",115514,"Textiles",11,3063114.0000000005,1995
"Man-made staple fibres",1155,"Other Synthetic Fabrics",115515,"Textiles",11,2867406,1995
"Man-made staple fibres",1155,"Woven Fabric of Synthetic Staple Fibers",115516,"Textiles",11,756971.0000000001,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Wadding",115601,"Textiles",11,6091,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Felt",115602,"Textiles",11,3133,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Non-woven Textiles",115603,"Textiles",11,47170,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Rubber Textiles",115604,"Textiles",11,40681,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Metallic Yarn",115605,"Textiles",11,15004.000000000002,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Gimp Yarn",115606,"Textiles",11,244229,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Twine and Rope",115607,"Textiles",11,45224012,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Twine, cordage or rope; knotted netting, made up fishing nets and other made up nets, of textile materials",115608,"Textiles",11,351729,1995
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Other Articles of Twine and Rope",115609,"Textiles",11,1115659,1995
"Carpets & textile floor covers",1157,"Knotted Carpets",115701,"Textiles",11,1490852,1995
"Carpets & textile floor covers",1157,"Hand-Woven Rugs",115702,"Textiles",11,3509286,1995
"Carpets & textile floor covers",1157,"Tufted Carpets",115703,"Textiles",11,3067713,1995
"Carpets & textile floor covers",1157,"Felt Carpets",115704,"Textiles",11,18797,1995
"Carpets & textile floor covers",1157,"Other Carpets",115705,"Textiles",11,409955,1995
"Special woven fabrics and tapestries",1158,"Woven Fabrics",115801,"Textiles",11,45432,1995
"Special woven fabrics and tapestries",1158,"Terry Fabric",115802,"Textiles",11,42663079,1995
"Special woven fabrics and tapestries",1158,"Tulles and Net Fabric",115804,"Textiles",11,90498,1995
"Special woven fabrics and tapestries",1158,"Hand-Woven Tapestries",115805,"Textiles",11,1825.9999999999998,1995
"Special woven fabrics and tapestries",1158,"Narrow Woven Fabric",115806,"Textiles",11,832027,1995
"Special woven fabrics and tapestries",1158,"Labels",115807,"Textiles",11,77918,1995
"Special woven fabrics and tapestries",1158,"Ornamental Trimmings",115808,"Textiles",11,6177.000000000001,1995
"Special woven fabrics and tapestries",1158,"Embroidery",115810,"Textiles",11,117787,1995
"Coated, covered, & laminated fabrics for industrial use",1159,"Plastic Coated Textile Fabric",115903,"Textiles",11,140595,1995
"Coated, covered, & laminated fabrics for industrial use",1159,"Textiles for technical uses",115911,"Textiles",11,71019,1995
"Knitted fabrics",1160,"Pile Fabric",116001,"Textiles",11,137228,1995
"Knitted fabrics",1160,"Light Rubberized Knitted Fabric",116002,"Textiles",11,5524214,1995
"Knitted clothing accesories",1161,"Knit Men's Coats",116101,"Textiles",11,18077205,1995
"Knitted clothing accesories",1161,"Knit Women's Coats",116102,"Textiles",11,5693924,1995
"Knitted clothing accesories",1161,"Knit Men's Suits",116103,"Textiles",11,17594727,1995
"Knitted clothing accesories",1161,"Knit Women's Suits",116104,"Textiles",11,53321253,1995
"Knitted clothing accesories",1161,"Knit Men's Shirts",116105,"Textiles",11,101418864,1995
